DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人ガラシア会ガラシア病院,大阪府,平成26年度出来高算定病院,0.0,104.0,完全一致,1.0,医療法人ガラシア会ガラシア病院,,
医療法人同友会共和病院,大阪府,平成26年度出来高算定病院,32.0,160.0,完全一致,1.0,医療法人同友会共和病院,,
医療法人りんどう会向山病院,大阪府,平成26年度出来高算定病院,11.0,85.0,完全一致,1.0,医療法人りんどう会向山病院,,
関西医科大学くずは病院,大阪府,平成26年度出来高算定病院,0.0,94.0,完全一致,1.0,関西医科大学くずは病院,,
医療法人彰療会大正病院,大阪府,平成26年度出来高算定病院,0.0,145.0,完全一致,1.0,医療法人彰療会大正病院,,
医療法人永寿会福島病院,大阪府,平成26年度出来高算定病院,74.0,97.0,完全一致,1.0,医療法人永寿会福島病院,,
医療法人芙蓉会南草津病院,滋賀県,平成26年度出来高算定病院,0.0,137.0,完全一致,1.0,医療法人芙蓉会南草津病院,,
冨田病院,京都府,平成26年度出来高算定病院,26.0,99.0,サフィックス一致,0.9,社会福祉法人京都博愛会冨田病院,,
医療法人善正会上田病院,大阪府,平成26年度出来高算定病院,74.0,94.0,完全一致,1.0,医療法人善正会上田病院,,
医療法人　渡辺医学会　桜橋渡辺未来医療病院,大阪府,平成26年度出来高算定病院,113.0,113.0,完全一致,1.0,医療法人渡辺医学会桜橋渡辺未来医療病院,,
医療法人正清会金剛病院,大阪府,平成26年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人正清会金剛病院,,
医療法人仁風会牧野病院,大阪府,平成26年度出来高算定病院,0.0,180.0,完全一致,1.0,医療法人仁風会牧野病院,,
医療法人宝持会池田病院,大阪府,平成26年度出来高算定病院,89.0,199.0,完全一致,1.0,医療法人宝持会池田病院,,
医療法人恵泉会　堺平成病院,大阪府,平成26年度出来高算定病院,0.0,296.0,完全一致,1.0,医療法人恵泉会堺平成病院,,
医療法人健和会うえだ下田部病院,大阪府,平成26年度出来高算定病院,28.0,116.0,完全一致,1.0,特定医療法人健和会うえだ下田部病院,,
一般財団法人岸和田農友協会岸和田平成病院,大阪府,平成26年度出来高算定病院,0.0,149.0,完全一致,1.0,一般財団法人岸和田農友協会岸和田平成病院,,
医療法人樫本会樫本病院,大阪府,平成26年度出来高算定病院,0.0,199.0,完全一致,1.0,医療法人樫本会樫本病院,,
医療法人泉南玉井会玉井病院,大阪府,平成26年度出来高算定病院,24.0,75.0,サフィックス一致,0.9,玉井病院,,
六甲病院,兵庫県,平成26年度出来高算定病院,55.0,163.0,完全一致,1.0,六甲病院,,
医療法人社団菫会北須磨病院,兵庫県,平成26年度出来高算定病院,70.0,144.0,完全一致,1.0,医療法人社団菫会 北須磨病院,,
医療法人喜望会谷向病院,兵庫県,平成26年度出来高算定病院,32.0,180.0,サフィックス一致,0.9,谷向病院,,
洲本伊月病院,兵庫県,平成26年度出来高算定病院,66.0,178.0,完全一致,1.0,洲本伊月病院,,
摂津ひかり病院,大阪府,平成26年度出来高算定病院,3.0,50.0,完全一致,1.0,摂津ひかり病院,,
摂津医誠会病院,大阪府,平成26年度出来高算定病院,111.0,170.0,未結合,,,,
医療法人社団佳生会野木病院,兵庫県,平成26年度出来高算定病院,40.0,99.0,サフィックス一致,0.9,野木病院,,
江井島病院,兵庫県,平成26年度出来高算定病院,31.0,120.0,完全一致,1.0,江井島病院,,
多可赤十字病院,兵庫県,平成26年度出来高算定病院,40.0,96.0,完全一致,1.0,多可赤十字病院,,
医療法人仁寿会石川病院,兵庫県,平成26年度出来高算定病院,0.0,206.0,完全一致,1.0,医療法人仁寿会石川病院,,
特定医療法人光寿会城陽江尻病院,兵庫県,平成26年度出来高算定病院,77.0,157.0,サフィックス一致,0.9,城陽江尻病院,,
姫路医療生活協同組合共立病院,兵庫県,平成26年度出来高算定病院,0.0,48.0,完全一致,1.0,姫路医療生活協同組合共立病院,,
社会医療法人生長会ベルピアノ病院,大阪府,平成26年度出来高算定病院,0.0,192.0,サフィックス一致,0.9,ベルピアノ病院,,
医療法人仁悠会吉川病院,大阪府,平成26年度出来高算定病院,37.0,90.0,未結合,,,,
医療法人社団慶桜会東可児病院,岐阜県,平成26年度出来高算定病院,99.0,99.0,完全一致,1.0,医療法人社団慶桜会 東可児病院,,
医療法人社団静岡健生会三島共立病院,静岡県,平成26年度出来高算定病院,0.0,84.0,完全一致,1.0,医療法人社団 静岡健生会 三島共立病院,,
日本赤十字社静岡県支部裾野赤十字病院,静岡県,平成26年度出来高算定病院,27.0,98.0,サフィックス一致,0.9,裾野赤十字病院,,
一般財団法人恵愛会聖隷富士病院,静岡県,平成26年度出来高算定病院,42.0,117.0,サフィックス一致,0.9,聖隷富士病院,,
医療法人米田病院,愛知県,平成26年度出来高算定病院,42.0,54.0,完全一致,1.0,医療法人米田病院,,
医療法人珪山会鵜飼病院,愛知県,平成26年度出来高算定病院,0.0,120.0,完全一致,1.0,医療法人珪山会 鵜飼病院,,
公益社団法人山梨勤労者医療協会巨摩共立病院,山梨県,平成26年度出来高算定病院,7.0,151.0,サフィックス一致,0.9,巨摩共立病院,,
医療法人公生会竹重病院,長野県,平成26年度出来高算定病院,22.0,72.0,完全一致,1.0,医療法人公生会　竹重病院,,
医療法人笠寺病院,愛知県,平成26年度出来高算定病院,0.0,128.0,完全一致,1.0,医療法人笠寺病院,,
医療法人名南会名南病院,愛知県,平成26年度出来高算定病院,49.0,157.0,サフィックス一致,0.9,名南病院,,
第一なるみ病院,愛知県,平成26年度出来高算定病院,42.0,130.0,完全一致,1.0,第一なるみ病院,,
医療法人清水会相生山病院,愛知県,平成26年度出来高算定病院,56.0,162.0,完全一致,1.0,医療法人清水会 相生山病院,,
社会医療法人名古屋記念財団　新生会第一病院,愛知県,平成26年度出来高算定病院,27.0,144.0,サフィックス一致,0.9,新生会第一病院,,
医療法人尾張健友会千秋病院,愛知県,平成26年度出来高算定病院,50.0,294.0,完全一致,1.0,医療法人尾張健友会 千秋病院,,
医療法人社団友愛会岩砂病院・岩砂マタニティ,岐阜県,平成26年度出来高算定病院,48.0,132.0,サフィックス一致,0.9,岩砂病院・岩砂マタニティ,,
医療法人録三会太田病院,岐阜県,平成26年度出来高算定病院,30.0,89.0,サフィックス一致,0.9,太田病院,,
医療法人秋田病院,愛知県,平成26年度出来高算定病院,92.0,150.0,完全一致,1.0,秋田病院,,
医療法人生寿会五条川リハビリテーション病院,愛知県,平成26年度出来高算定病院,40.0,160.0,完全一致,1.0,医療法人生寿会 五条川リハビリテーション病院,,
国立研究開発法人国立長寿医療研究センター,愛知県,平成26年度出来高算定病院,250.0,345.0,完全一致,1.0,国立研究開発法人国立長寿医療研究センター,,
医療法人社団山中胃腸科病院,三重県,平成26年度出来高算定病院,38.0,93.0,完全一致,1.0,医療法人社団山中胃腸科病院,,
医療法人尚豊会みたき総合病院,三重県,平成26年度出来高算定病院,71.0,199.0,完全一致,1.0,医療法人尚豊会 みたき総合病院,,
医療法人三重ハートセンター,三重県,平成26年度出来高算定病院,45.0,45.0,完全一致,1.0,三重ハートセンター,,
医療法人偕行会偕行会城西病院,愛知県,平成26年度出来高算定病院,0.0,120.0,サフィックス一致,0.9,偕行会城西病院,,
医療法人生寿会かわな病院,愛知県,平成26年度出来高算定病院,26.0,53.0,完全一致,1.0,医療法人 生寿会 かわな病院,,
医療法人相馬病院,京都府,平成26年度出来高算定病院,34.0,99.0,完全一致,1.0,医療法人相馬病院,,
医療法人社団淀さんせん会金井病院,京都府,平成26年度出来高算定病院,43.0,128.0,完全一致,1.0,医療法人社団淀さんせん会金井病院,,
医療法人大泉会大仙病院,大阪府,平成26年度出来高算定病院,6.0,30.0,完全一致,1.0,医療法人大泉会大仙病院,,
医療法人敬任会南河内おか病院,大阪府,平成26年度出来高算定病院,41.0,99.0,完全一致,1.0,医療法人敬任会南河内おか病院,,
医療法人庸愛会富田町病院,大阪府,平成26年度出来高算定病院,0.0,60.0,完全一致,1.0,医療法人庸愛会富田町病院,,
医療法人祥佑会藤田胃腸科病院,大阪府,平成26年度出来高算定病院,33.0,33.0,完全一致,1.0,医療法人祥佑会藤田胃腸科病院,,
医療法人青山病院,愛知県,平成26年度出来高算定病院,21.0,89.0,完全一致,1.0,医療法人青山病院,,
医療法人慈和会吉田整形外科病院,愛知県,平成26年度出来高算定病院,78.0,78.0,完全一致,1.0,医療法人慈和会 吉田整形外科病院,,
医療法人横浜平成会平成横浜病院,神奈川県,平成26年度出来高算定病院,50.0,183.0,サフィックス一致,0.9,平成横浜病院,,
宗教法人寒川神社寒川病院,神奈川県,平成26年度出来高算定病院,80.0,99.0,完全一致,1.0,宗教法人寒川神社 寒川病院,,
医療法人湘和会湘南記念病院,神奈川県,平成26年度出来高算定病院,50.0,143.0,完全一致,1.0,医療法人湘和会 湘南記念病院,,
鎌倉ヒロ病院,神奈川県,平成26年度出来高算定病院,0.0,79.0,完全一致,1.0,鎌倉ヒロ病院,,
医療法人篠原湘南クリニック クローバーホスピタル,神奈川県,平成26年度出来高算定病院,0.0,170.0,未結合,,,,
医療法人　湘南みらい　湘南第一病院,神奈川県,平成26年度出来高算定病院,94.0,94.0,サフィックス一致,0.9,湘南第一病院,,
医療法人社団玉栄会東京天使病院,東京都,平成26年度出来高算定病院,39.0,122.0,完全一致,1.0,医療法人社団玉栄会東京天使病院,,
一般財団法人仁和会総合病院,東京都,平成26年度出来高算定病院,42.0,157.0,完全一致,1.0,一般財団法人仁和会総合病院,,
医療法人社団哺育会横浜相原病院,神奈川県,平成26年度出来高算定病院,0.0,330.0,完全一致,1.0,医療法人社団哺育会　横浜相原病院,,
医療法人光陽会横浜いずみ台病院,神奈川県,平成26年度出来高算定病院,0.0,176.0,完全一致,1.0,医療法人光陽会 横浜いずみ台病院,,
医療法人社団山本記念会山本記念病院,神奈川県,平成26年度出来高算定病院,10.0,131.0,サフィックス一致,0.9,山本記念病院,,
医療法人社団共生会中条中央病院,新潟県,平成26年度出来高算定病院,43.0,90.0,サフィックス一致,0.9,中条中央病院,,
医療法人社団健心会坂東病院,富山県,平成26年度出来高算定病院,17.0,48.0,サフィックス一致,0.9,坂東病院,,
医療法人社団秋桜丸川病院,富山県,平成26年度出来高算定病院,38.0,38.0,サフィックス一致,0.9,丸川病院,,
国立研究開発法人国立精神・神経医療研究センター病院,東京都,平成26年度出来高算定病院,50.0,418.0,完全一致,1.0,国立研究開発法人 国立精神・神経医療研究センター病院,,
医療法人三星会大倉山記念病院,神奈川県,平成26年度出来高算定病院,0.0,114.0,サフィックス一致,0.9,大倉山記念病院,,
医療法人社団愛康会小松ソフィア病院,石川県,平成26年度出来高算定病院,5.0,48.0,サフィックス一致,0.9,小松ソフィア病院,,
公立宇出津総合病院,石川県,平成26年度出来高算定病院,100.0,100.0,完全一致,1.0,公立宇出津総合病院,,
医療法人福井愛育病院,福井県,平成26年度出来高算定病院,102.0,102.0,完全一致,1.0,医療法人福井愛育病院,,
池端病院,福井県,平成26年度出来高算定病院,0.0,30.0,完全一致,1.0,池端病院,,
医療法人至要会広瀬病院,福井県,平成26年度出来高算定病院,12.0,126.0,サフィックス一致,0.9,広瀬病院,,
越前町国民健康保険織田病院,福井県,平成26年度出来高算定病院,27.0,55.0,完全一致,1.0,越前町国民健康保険織田病院,,
医療法人同愛会小澤病院,神奈川県,平成26年度出来高算定病院,202.0,202.0,完全一致,1.0,医療法人 同愛会 小澤病院,,
医療法人社団哺育会さがみリハビリテーション病院,神奈川県,平成26年度出来高算定病院,0.0,130.0,完全一致,1.0,医療法人社団哺育会 さがみリハビリテーション病院,,
医療法人健救会柳澤病院,長野県,平成26年度出来高算定病院,18.0,98.0,未結合,,,,
医療法人仁和会整形外科上田花園病院,長野県,平成26年度出来高算定病院,4.0,36.0,未結合,,,,
医療法人雨宮病院,長野県,平成26年度出来高算定病院,0.0,54.0,完全一致,1.0,医療法人雨宮病院,,
医療法人社団幸紀会安江病院,岐阜県,平成26年度出来高算定病院,40.0,60.0,完全一致,1.0,医療法人社団幸紀会安江病院,,
医療法人社団誠広会平野総合病院,岐阜県,平成26年度出来高算定病院,87.0,187.0,完全一致,1.0,医療法人社団 誠広会 平野総合病院,,
医療法人和光会山田病院,岐阜県,平成26年度出来高算定病院,28.0,113.0,完全一致,1.0,医療法人 和光会 山田病院,,
医療法人社団橘会整形外科米澤病院,石川県,平成26年度出来高算定病院,39.0,72.0,サフィックス一致,0.9,整形外科米澤病院,,
医療法人社団さくら会森田病院,石川県,平成26年度出来高算定病院,10.0,99.0,完全一致,1.0,医療法人社団さくら会 森田病院,,
医療法人明星会東条病院,千葉県,平成26年度出来高算定病院,0.0,52.0,完全一致,1.0,医療法人明星会東条病院,,
医療法人社団愛信会佐倉中央病院,千葉県,平成26年度出来高算定病院,78.0,96.0,完全一致,1.0,医療法人社団愛信会佐倉中央病院,,
医療法人財団厚生会古川橋病院,東京都,平成26年度出来高算定病院,12.0,49.0,完全一致,1.0,医療法人財団厚生会 古川橋病院,,
医療法人財団順和会山王病院,東京都,平成26年度出来高算定病院,78.0,78.0,完全一致,1.0,医療法人財団順和会 山王病院,,
公益財団法人心臓血管研究所付属病院,東京都,平成26年度出来高算定病院,74.0,74.0,完全一致,1.0,公益財団法人 心臓血管研究所付属病院,,
社会福祉法人恩賜財団済生会支部東京都済生会向島病院,東京都,平成26年度出来高算定病院,36.0,102.0,未結合,,,,
医療法人社団清心会至聖病院,埼玉県,平成26年度出来高算定病院,85.0,95.0,完全一致,1.0,医療法人社団清心会至聖病院,,
医療法人豊岡整形外科病院,埼玉県,平成26年度出来高算定病院,0.0,72.0,完全一致,1.0,医療法人豊岡整形外科病院,,
医療法人財団寿康会寿康会病院,東京都,平成26年度出来高算定病院,0.0,49.0,完全一致,1.0,医療法人財団寿康会 寿康会病院,,
医療法人社団　空と大地　大崎病院　東京ハートセンター,東京都,平成26年度出来高算定病院,88.0,88.0,サフィックス一致,0.9,大崎病院 東京ハートセンター,,
医療法人社団菫会目黒病院,東京都,平成26年度出来高算定病院,54.0,60.0,完全一致,1.0,医療法人社団菫会 目黒病院,,
医療法人財団中島記念会大森山王病院,東京都,平成26年度出来高算定病院,0.0,65.0,完全一致,1.0,医療法人財団中島記念会 大森山王病院,,
医療法人社団杏順会越川病院,東京都,平成26年度出来高算定病院,12.0,46.0,完全一致,1.0,医療法人社団杏順会 越川病院,,
医療法人社団哺育会　杉並リハビリテーション病院,東京都,平成26年度出来高算定病院,0.0,101.0,完全一致,1.0,医療法人社団 哺育会 杉並リハビリテーション病院,,
医療法人社団　東邦鎌谷病院,千葉県,平成26年度出来高算定病院,60.0,120.0,完全一致,1.0,医療法人社団東邦鎌谷病院,,
長生郡市広域市町村圏組合公立長生病院,千葉県,平成26年度出来高算定病院,98.0,128.0,サフィックス一致,0.9,公立長生病院,,
医療法人財団朔望会常盤台外科病院,東京都,平成26年度出来高算定病院,68.0,99.0,完全一致,1.0,医療法人財団朔望会 常盤台外科病院,,
医療法人社団叡宥会安田病院,東京都,平成26年度出来高算定病院,0.0,43.0,完全一致,1.0,医療法人社団叡宥会 安田病院,,
東京保健生活協同組合大泉生協病院,東京都,平成26年度出来高算定病院,47.0,94.0,サフィックス一致,0.9,大泉生協病院,,
医療法人財団健和会柳原病院,東京都,平成26年度出来高算定病院,0.0,90.0,完全一致,1.0,医療法人財団健和会 柳原病院,,
医療法人財団慈光会堀切中央病院,東京都,平成26年度出来高算定病院,52.0,127.0,完全一致,1.0,医療法人財団慈光会 堀切中央病院,,
医療法人社団五十鈴会坂本病院,東京都,平成26年度出来高算定病院,6.0,97.0,完全一致,1.0,医療法人社団五十鈴会坂本病院,,
医療法人社団仁寿会中村病院,東京都,平成26年度出来高算定病院,0.0,130.0,完全一致,1.0,医療法人社団仁寿会中村病院,,
社会医療法人財団正明会山田記念病院,東京都,平成26年度出来高算定病院,56.0,140.0,完全一致,1.0,医療法人財団正明会 山田記念病院,,
社会福祉法人浴光会国分寺病院,東京都,平成26年度出来高算定病院,0.0,158.0,完全一致,1.0,社会福祉法人浴光会国分寺病院,,
医療法人社団大日会小金井太陽病院,東京都,平成26年度出来高算定病院,26.0,115.0,完全一致,1.0,医療法人社団大日会 小金井太陽病院,,
医療法人社団東山会調布東山病院,東京都,平成26年度出来高算定病院,0.0,83.0,完全一致,1.0,医療法人社団東山会 調布東山病院,,
医療法人社団大和会多摩川病院,東京都,平成26年度出来高算定病院,0.0,167.0,完全一致,1.0,医療法人社団大和会 多摩川病院,,
一般財団法人多摩緑成会緑成会病院,東京都,平成26年度出来高算定病院,0.0,146.0,サフィックス一致,0.9,緑成会病院,,
医療法人平成博愛会世田谷記念病院,東京都,平成26年度出来高算定病院,0.0,146.0,サフィックス一致,0.9,世田谷記念病院,,
医療法人社団杏精会岡田病院,東京都,平成26年度出来高算定病院,49.0,57.0,完全一致,1.0,医療法人社団杏精会 岡田病院,,
社会医療法人社団一成会　木村病院,東京都,平成26年度出来高算定病院,47.0,99.0,完全一致,1.0,社会医療法人社団一成会 木村病院,,
石岡循環器科脳神経外科病院,茨城県,平成26年度出来高算定病院,63.0,63.0,完全一致,1.0,石岡循環器科脳神経外科病院,,
群馬中央医療生活協同組合前橋協立病院,群馬県,平成26年度出来高算定病院,45.0,189.0,サフィックス一致,0.9,前橋協立病院,,
医療法人社団ほたか会　群馬パース病院,群馬県,平成26年度出来高算定病院,23.0,199.0,完全一致,1.0,医療法人社団ほたか会群馬パース病院,,
医療法人高徳会上牧温泉病院,群馬県,平成26年度出来高算定病院,10.0,76.0,サフィックス一致,0.9,上牧温泉病院,,
鶴谷病院,群馬県,平成26年度出来高算定病院,48.0,316.0,完全一致,1.0,鶴谷病院,,
高崎中央病院,群馬県,平成26年度出来高算定病院,9.0,119.0,完全一致,1.0,高崎中央病院,,
公益財団法人湯浅報恩会寿泉堂香久山病院,福島県,平成26年度出来高算定病院,0.0,199.0,完全一致,1.0,公益財団法人湯浅報恩会寿泉堂香久山病院,,
医療法人明信会今泉西病院,福島県,平成26年度出来高算定病院,71.0,158.0,完全一致,1.0,医療法人明信会今泉西病院,,
北毛保健生活協同組合北毛病院,群馬県,平成26年度出来高算定病院,0.0,150.0,完全一致,1.0,北毛保健生活協同組合北毛病院,,
藤岡市国民健康保険鬼石病院,群馬県,平成26年度出来高算定病院,0.0,99.0,完全一致,1.0,藤岡市国民健康保険鬼石病院,,
医療法人済恵会須藤病院,群馬県,平成26年度出来高算定病院,48.0,120.0,完全一致,1.0,医療法人済恵会 須藤病院,,
医療法人社団全仁会高木病院,群馬県,平成26年度出来高算定病院,59.0,107.0,完全一致,1.0,医療法人社団全仁会 高木病院,,
医療法人六花会館林記念病院,群馬県,平成26年度出来高算定病院,16.0,104.0,完全一致,1.0,医療法人六花会 館林記念病院,,
医療法人明浩会西大宮病院,埼玉県,平成26年度出来高算定病院,107.0,198.0,完全一致,1.0,医療法人明浩会西大宮病院,,
医療法人社団双愛会つくば双愛病院,茨城県,平成26年度出来高算定病院,29.0,156.0,完全一致,1.0,医療法人社団双愛会 つくば双愛病院,,
医療法人盡誠会宮本病院,茨城県,平成26年度出来高算定病院,0.0,417.0,サフィックス一致,0.9,宮本病院,,
医療法人光仁会春日部厚生病院,埼玉県,平成26年度出来高算定病院,44.0,190.0,完全一致,1.0,医療法人光仁会春日部厚生病院,,
医療法人社団全仁会　東都春日部病院,埼玉県,平成26年度出来高算定病院,76.0,184.0,完全一致,1.0,医療法人社団全仁会東都春日部病院,,
医療法人藤仁会藤村病院,埼玉県,平成26年度出来高算定病院,52.0,94.0,完全一致,1.0,医療法人藤仁会藤村病院,,
医療法人社団東光会戸田中央産院,埼玉県,平成26年度出来高算定病院,62.0,62.0,完全一致,1.0,医療法人社団東光会戸田中央産院,,
医療法人山柳会塩味病院,埼玉県,平成26年度出来高算定病院,35.0,77.0,完全一致,1.0,医療法人山柳会塩味病院,,
医療法人社団和風会所沢中央病院,埼玉県,平成26年度出来高算定病院,160.0,160.0,完全一致,1.0,医療法人社団和風会所沢中央病院,,
医療法人松沢会希望館病院,群馬県,平成26年度出来高算定病院,19.0,130.0,サフィックス一致,0.9,希望館病院,,
医療法人真木会真木病院,群馬県,平成26年度出来高算定病院,90.0,130.0,完全一致,1.0,医療法人真木会真木病院,,
本庄総合病院,埼玉県,平成26年度出来高算定病院,137.0,287.0,完全一致,1.0,本庄総合病院,,
医療法人社団武蔵野会新座病院,埼玉県,平成26年度出来高算定病院,0.0,128.0,完全一致,1.0,医療法人社団武蔵野会新座病院,,
千葉県総合救急災害医療センター,千葉県,平成26年度出来高算定病院,100.0,150.0,完全一致,1.0,千葉県総合救急災害医療センター,,
大網白里市立国保大網病院,千葉県,平成26年度出来高算定病院,99.0,99.0,完全一致,1.0,大網白里市立国保大網病院,,
社会医療法人社団さつき会袖ケ浦さつき台病院,千葉県,平成26年度出来高算定病院,0.0,384.0,完全一致,1.0,社会医療法人社団さつき会袖ケ浦さつき台病院,,
柏市立柏病院,千葉県,平成26年度出来高算定病院,149.0,200.0,完全一致,1.0,柏市立柏病院,,
医療法人社団　哺育会　笠幡病院,埼玉県,平成26年度出来高算定病院,0.0,136.0,完全一致,1.0,医療法人社団哺育会笠幡病院,,
医療法人直心会帯津三敬病院,埼玉県,平成26年度出来高算定病院,60.0,95.0,サフィックス一致,0.9,帯津三敬病院,,
平内町国民健康保険平内中央病院,青森県,平成26年度出来高算定病院,15.0,96.0,完全一致,1.0,平内町国民健康保険 平内中央病院,,
医療法人ときわ会ときわ会病院,青森県,平成26年度出来高算定病院,39.0,149.0,サフィックス一致,0.9,ときわ会病院,,
公立七戸病院,青森県,平成26年度出来高算定病院,42.0,70.0,完全一致,1.0,公立七戸病院,,
国民健康保険五戸総合病院,青森県,平成26年度出来高算定病院,61.0,90.0,完全一致,1.0,国民健康保険五戸総合病院,,
社会医療法人博進会南部病院,青森県,平成26年度出来高算定病院,36.0,60.0,完全一致,1.0,社会医療法人博進会南部病院,,
医療法人社団帰厚堂南昌病院,岩手県,平成26年度出来高算定病院,18.0,180.0,サフィックス一致,0.9,南昌病院,,
社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,北海道,平成26年度出来高算定病院,0.0,104.0,完全一致,1.0,社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,,
社会福祉法人北海道社会事業協会函館病院,北海道,平成26年度出来高算定病院,48.0,286.0,完全一致,1.0,社会福祉法人北海道社会事業協会函館病院,,
登米市立登米市民病院,宮城県,平成26年度出来高算定病院,115.0,198.0,完全一致,1.0,登米市立登米市民病院,,
医療法人社団仙石病院,宮城県,平成26年度出来高算定病院,120.0,120.0,完全一致,1.0,医療法人社団仙石病院,,
（公財）宮城厚生協会古川民主病院,宮城県,平成26年度出来高算定病院,0.0,46.0,サフィックス一致,0.9,公益財団法人宮城厚生協会 古川民主病院,,
医療法人永仁会永仁会病院,宮城県,平成26年度出来高算定病院,46.0,46.0,完全一致,1.0,医療法人永仁会 永仁会病院,,
広瀬病院ひろせ会広瀬病院,宮城県,平成26年度出来高算定病院,21.0,93.0,サフィックス一致,0.9,医療法人ひろせ会 広瀬病院,,
一般財団法人やまとコミュニティホスピタル　光ヶ丘スペルマン病院,宮城県,平成26年度出来高算定病院,58.0,140.0,サフィックス一致,0.9,光ヶ丘スペルマン病院,,
医療法人翔陽会滝川脳神経外科病院,北海道,平成26年度出来高算定病院,38.0,132.0,完全一致,1.0,医療法人翔陽会滝川脳神経外科病院,,
公益財団法人シルバーリハビリテーション協会メディカルコート八戸西病院,青森県,平成26年度出来高算定病院,93.0,199.0,サフィックス一致,0.9,メディカルコート八戸西病院,,
独立行政法人労働者健康安全機構　秋田労災病院,秋田県,平成26年度出来高算定病院,104.0,150.0,完全一致,1.0,独立行政法人労働者健康安全機構 秋田労災病院,,
秋田県厚生農業協同組合連合会湖東厚生病院,秋田県,平成26年度出来高算定病院,56.0,100.0,サフィックス一致,0.9,湖東厚生病院,,
医療法人社団松柏会至誠堂総合病院,山形県,平成26年度出来高算定病院,40.0,199.0,完全一致,1.0,医療法人社団松柏会至誠堂総合病院,,
置賜広域病院組合公立置賜長井病院,山形県,平成26年度出来高算定病院,22.0,50.0,サフィックス一致,0.9,公立置賜長井病院,,
公立置賜南陽病院,山形県,平成26年度出来高算定病院,11.0,50.0,完全一致,1.0,公立置賜南陽病院,,
医療法人明精会会津西病院,福島県,平成26年度出来高算定病院,60.0,370.0,完全一致,1.0,医療法人明精会 会津西病院,,
医療法人社団仁明会齋藤病院,宮城県,平成26年度出来高算定病院,46.0,178.0,サフィックス一致,0.9,齋藤病院,,
塩竈市立病院,宮城県,平成26年度出来高算定病院,71.0,161.0,完全一致,1.0,塩竈市立病院,,
医療法人常磐会いわき湯本病院,福島県,平成26年度出来高算定病院,0.0,154.0,完全一致,1.0,医療法人常磐会 いわき湯本病院,,
社団医療法人養生会かしま病院,福島県,平成26年度出来高算定病院,0.0,193.0,完全一致,1.0,社団医療法人養生会かしま病院,,
医療法人社団協栄会大久保病院,茨城県,平成26年度出来高算定病院,29.0,194.0,完全一致,1.0,医療法人社団協栄会大久保病院,,
総和中央病院,茨城県,平成26年度出来高算定病院,22.0,113.0,完全一致,1.0,総和中央病院,,
医療法人竜仁会牛尾病院,茨城県,平成26年度出来高算定病院,19.0,111.0,サフィックス一致,0.9,牛尾病院,,
医療法人西秀会西間木病院,茨城県,平成26年度出来高算定病院,6.0,39.0,サフィックス一致,0.9,西間木病院,,
公益財団法人宮城厚生協会泉病院,宮城県,平成26年度出来高算定病院,44.0,94.0,完全一致,1.0,公益財団法人宮城厚生協会泉病院,,
市立大森病院,秋田県,平成26年度出来高算定病院,50.0,150.0,完全一致,1.0,市立大森病院,,
医療法人社団順幸会阿蘇立野病院,熊本県,平成26年度出来高算定病院,0.0,52.0,サフィックス一致,0.9,阿蘇立野病院,,
医療法人谷田会谷田病院,熊本県,平成26年度出来高算定病院,0.0,85.0,サフィックス一致,0.9,谷田病院,,
永冨脳神経外科病院,大分県,平成26年度出来高算定病院,83.0,153.0,完全一致,1.0,永冨脳神経外科病院,,
社会医療法人　長門莫記念会　長門記念病院,大分県,平成26年度出来高算定病院,120.0,264.0,完全一致,1.0,社会医療法人長門莫記念会 長門記念病院,,
医療法人恵友会杵築中央病院,大分県,平成26年度出来高算定病院,44.0,60.0,完全一致,1.0,医療法人恵友会　杵築中央病院,,
九州大学病院別府病院,大分県,平成26年度出来高算定病院,120.0,120.0,完全一致,1.0,九州大学病院別府病院,,
町立太良病院,佐賀県,平成26年度出来高算定病院,30.0,60.0,完全一致,1.0,町立太良病院,,
医療法人健正会大久保病院,長崎県,平成26年度出来高算定病院,12.0,174.0,完全一致,1.0,医療法人健正会　大久保病院,,
医療法人東陽会整形外科前原病院,宮崎県,平成26年度出来高算定病院,25.0,88.0,完全一致,1.0,医療法人東陽会整形外科前原病院,,
社会医療法人　慶明会　けいめい記念病院,宮崎県,平成26年度出来高算定病院,0.0,45.0,完全一致,1.0,社会医療法人慶明会けいめい記念病院,,
医療法人玉水会玉水会病院,鹿児島県,平成26年度出来高算定病院,16.0,71.0,サフィックス一致,0.9,玉水会病院,,
医療法人明正会今林整形外科病院,鹿児島県,平成26年度出来高算定病院,30.0,110.0,サフィックス一致,0.9,今林整形外科病院,,
医療法人敬安会伊達病院,鹿児島県,平成26年度出来高算定病院,7.0,48.0,未結合,,,,
医療法人徳洲会喜界徳洲会病院,鹿児島県,平成26年度出来高算定病院,40.0,89.0,サフィックス一致,0.9,喜界徳洲会病院,,
医療法人清和会平成とうや病院,熊本県,平成26年度出来高算定病院,0.0,160.0,サフィックス一致,0.9,平成とうや病院,,
