DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人社団弘仁会魚津緑ヶ丘病院,富山県,令和4年度出来高算定病院,0.0,140.0,未結合,,,,
独立行政法人国立病院機構富山病院,富山県,令和4年度出来高算定病院,45.0,275.0,完全一致,1.0,独立行政法人国立病院機構富山病院,,
医療法人社団直樹会磯ヶ谷病院,千葉県,令和4年度出来高算定病院,0.0,164.0,未結合,,,,
公益財団法人復光会総武病院,千葉県,令和4年度出来高算定病院,0.0,452.0,未結合,,,,
社会医療法人加納岩日下部記念病院,山梨県,令和4年度出来高算定病院,0.0,282.0,未結合,,,,
医療法人暁会仁愛病院,長野県,令和4年度出来高算定病院,73.0,167.0,完全一致,1.0,医療法人暁会 仁愛病院,,
独立行政法人国立病院機構東長野病院,長野県,令和4年度出来高算定病院,0.0,219.0,完全一致,1.0,独立行政法人国立病院機構東長野病院,,
社会医療法人聖泉会聖十字病院,岐阜県,令和4年度出来高算定病院,0.0,199.0,未結合,,,,
医療法人緑翔会小松病院,愛知県,令和4年度出来高算定病院,36.0,90.0,完全一致,1.0,医療法人緑翔会 小松病院,,
八事病院,愛知県,令和4年度出来高算定病院,60.0,485.0,完全一致,1.0,八事病院,,
東京都立府中療育センター,東京都,令和4年度出来高算定病院,0.0,260.0,完全一致,1.0,東京都立府中療育センター,,
地方独立行政法人東京都立病院機構東京都立松沢病院,東京都,令和4年度出来高算定病院,45.0,660.0,完全一致,1.0,地方独立行政法人東京都立病院機構　東京都立松沢病院,,
日東病院,福島県,令和3年度出来高算定病院,36.0,36.0,完全一致,1.0,日東病院,,
療育センターきぼう,群馬県,令和3年度出来高算定病院,0.0,140.0,完全一致,1.0,療育センターきぼう,,
小美玉市医療センター,茨城県,令和3年度出来高算定病院,60.0,60.0,サフィックス一致,0.9,社会医療法人財団古宿会小美玉市医療センター,,
社会医療法人創和会　しげい病院,岡山県,令和4年度出来高算定病院,0.0,256.0,完全一致,1.0,医療法人創和会 しげい病院,,
公立高畠病院,山形県,令和4年度出来高算定病院,0.0,130.0,完全一致,1.0,公立高畠病院,,
社会医療法人　頌徳会　日野病院,大阪府,令和4年度出来高算定病院,10.0,199.0,完全一致,1.0,社会医療法人頌徳会日野病院,,
医療法人徳洲会東佐野病院,大阪府,令和3年度出来高算定病院,0.0,79.0,完全一致,1.0,医療法人徳洲会東佐野病院,,
医療法人社団輝斉会森田病院,山口県,令和3年度出来高算定病院,0.0,36.0,完全一致,1.0,医療法人社団輝斉会 森田病院,,
医療法人中沢会上毛病院,群馬県,令和4年度出来高算定病院,20.0,334.0,完全一致,1.0,医療法人中沢会 上毛病院,,
医療法人群栄会田中病院,群馬県,令和4年度出来高算定病院,0.0,494.0,完全一致,1.0,群栄会田中病院,,
光の家療育センター,埼玉県,令和4年度出来高算定病院,0.0,345.0,完全一致,1.0,光の家療育センター,,
